word,sense,pos,ipa,gloss
abono,advance_payment,NOUN,ɐˈbonu,advance (of money)
abono,allowance,NOUN,ɐˈbonu,(protected: operational roster)
abono,financial_aid,NOUN,ɐˈbonu,financial aid; allowance/subsidy
abono,hazard_supplement,NOUN,ɐˈbonu,supplementary pay compensating for job risks
abono,interim_dividend,NOUN,ɐˈbonu,advance distribution to members anticipating a dividend
abono,praise,NOUN,ɐˈbonu,praise; commendation (elogio)
abono,surety_guarantee,NOUN,ɐˈbonu,"surety, guarantee (fiança)"
abono,vouch,VERB,ɐˈbɔnu,to vouch for; to guarantee; to advance (money) (1sg of abonar)
aborto,aborted_fetus,NOUN,ɐˈboɾtu,a fetus in that aborted condition
aborto,abortion,NOUN,ɐˈboɾtu,miscarriage or induced abortion of a fetus
aborto,abortive_organ,NOUN,ɐˈboɾtu,an organ in that arrested condition
aborto,arrested_organ_development,NOUN,ɐˈboɾtu,arrest of an organ's natural development
aborto,monstrosity,NOUN,ɐˈboɾtu,aberration; monstrosity
aborto,abort,VERB,ɐˈbɔɾtu,to abort; to cancel; to cause to fail (1sg of abortar)
abrolho,caltrop,NOUN,ɐˈbɾoʎu,(protected: operational roster)
abrolho,caltrop_plant,NOUN,ɐˈbɾoʎu,"caltrop plant (Zygophyllaceae), yellow flowers, spiny fruit"
abrolho,obstacle_difficulty,NOUN,ɐˈbɾoʎu,setback; difficulty; obstacle
abrolho,sharp_point,NOUN,ɐˈbɾoʎu,sharp point
abrolho,shoot_sprout_noun,NOUN,ɐˈbɾoʎu,shoot; sprout (rebento)
abrolho,spiny_fruit,NOUN,ɐˈbɾoʎu,the spiny fruit of that plant
abrolho,submerged_reef,NOUN,ɐˈbɾoʎu,rock just below the water surface; shoal
abrolho,thorn,NOUN,ɐˈbɾoʎu,thorn of any plant
abrolho,sprout,VERB,ɐˈbɾɔʎu,to sprout; to put forth shoots (1sg of abrolhar)
aceno,hint,NOUN,ɐˈsenu,indication; hint (indício)
aceno,nod,NOUN,ɐˈsenu,"act of gesturing; a gesture/sign with head, eyes or hands"
aceno,beckon,VERB,ɐˈsɛnu,to beckon; to signal; to allude (1sg of acenar)
acerto,good_luck,NOUN,ɐˈseɾtu,luck; good fortune (sorte)
acerto,prudence,NOUN,ɐˈseɾtu,prudence; good judgement
acerto,settlement,NOUN,ɐˈseɾtu,act of getting right; adjustment; settlement (of accounts)
acerto,adjust,VERB,ɐˈsɛɾtu,to hit (target); to adjust; to get right (1sg of acertar)
acordo,agreement,NOUN,ɐˈkoɾdu,agreement; convention; pact; meeting of wills in a contract
acordo,concord,NOUN,ɐˈkoɾdu,concord; concordance
acordo,consciousness,NOUN,ɐˈkoɾdu,full possession of one's senses; consciousness; wits (tino)
acordo,consonance,NOUN,ɐˈkoɾdu,consonance; harmony (consonância)
acordo,judicial_settlement,NOUN,ɐˈkoɾdu,settlement ending a lawsuit by mutual acceptance of a solution
acordo,wake,VERB,ɐˈkɔɾdu,to wake; to arouse (emotion); to tune (voices) (1sg of acordar)
adorno,adornment,NOUN,ɐˈdoɾnu,that which embellishes or makes more attractive; ornament
adorno,adorn,VERB,ɐˈdɔɾnu,to adorn; to deck out (1sg of adornar)
almoço,breakfast,NOUN,aɫˈmosu,"first meal of the day, taken on rising (regional/older usage)"
almoço,lunch,NOUN,aɫˈmosu,"lunch; one of the main meals, usually early afternoon"
almoço,lunch_food,NOUN,aɫˈmosu,the food served at that meal
almoço,dine,VERB,aɫˈmɔsu,to have lunch (1sg of almoçar)
apego,attachment,NOUN,ɐˈpeɡu,attachment; affection binding one to people or things one likes
apego,plough_beam,NOUN,ɐˈpeɡu,beam/pole of the plough (timão da charrua)
apego,tenacity,NOUN,ɐˈpeɡu,tenacity; persistence
apego,cling,VERB,ɐˈpɛɡu,to cling; to attach; to grow fond of (1sg of apegar)
apelo,allure,NOUN,ɐˈpelu,that which attracts or seduces; allure
apelo,appeal,NOUN,ɐˈpelu,appeal; act of appealing or asking for help/protection
apelo,legal_appeal,NOUN,ɐˈpelu,appeal of a judicial sentence to a higher court
apelo,roll_call,NOUN,ɐˈpelu,call; roll call (chamada)
apelo,solicitation,NOUN,ɐˈpelu,solicitation made in the name of someone or something
apelo,call_out,VERB,ɐˈpɛlu,to appeal; to call out; to seek help (1sg of apelar)
aperto,anguish,NOUN,ɐˈpeɾtu,anguish; distress
aperto,constraint,NOUN,ɐˈpeɾtu,physical or psychological constraint
aperto,crowd_crush,NOUN,ɐˈpeɾtu,crowd of people in a cramped space
aperto,narrow_place,NOUN,ɐˈpeɾtu,tight or narrow place
aperto,squeeze,NOUN,ɐˈpeɾtu,act of tightening or pressing; squeeze
aperto,stinginess,NOUN,ɐˈpeɾtu,avarice; stinginess
aperto,stricture,NOUN,ɐˈpeɾtu,narrowing of a canal or bodily orifice (anatomical)
aperto,tight_spot,NOUN,ɐˈpeɾtu,difficult (esp. financial) situation; jam
aperto,urgency,NOUN,ɐˈpeɾtu,urgency
aperto,tighten,VERB,ɐˈpɛɾtu,to tighten; to grip; to press close (1sg of apertar)
arremedo,imitation,NOUN,ɐʁɨˈmedu,act or effect of imitating; imperfect imitation
arremedo,semblance,NOUN,ɐʁɨˈmedu,"appearance, semblance"
arremedo,trace,NOUN,ɐʁɨˈmedu,a trace or vestige
arremedo,vague_resemblance,NOUN,ɐʁɨˈmedu,a vague or blurred resemblance
arremedo,mimic,VERB,ɐʁɨˈmɛdu,I mimic / imitate (1sg pres of arremedar)
arremesso,great_courage,NOUN,ɐʁɨˈmesu,great courage
arremesso,impetus,NOUN,ɐʁɨˈmesu,"a sudden gesture, impulse, impetus"
arremesso,offensive_action,NOUN,ɐʁɨˈmesu,an offensive/aggressive action
arremesso,telltale_gesture,NOUN,ɐʁɨˈmesu,a gesture or movement that signals an act
arremesso,throw,NOUN,ɐʁɨˈmesu,act of throwing/hurling; the thing thrown
arremesso,fling,VERB,ɐʁɨˈmɛsu,I hurl/fling (1sg pres of arremessar)
arrepelo,hair_pulling,NOUN,ɐʁɨˈpelu,a hard pull of the hair (= arrepelao)
arrepelo,snatch,VERB,ɐʁɨˈpɛlu,I yank/pull hard (1sg pres of arrepelar)
arrojo,act_of_hurling,NOUN,ɐˈʁoʒu,act of hurling; a throw
arrojo,animosity,NOUN,ɐˈʁoʒu,animosity
arrojo,boldness,NOUN,ɐˈʁoʒu,"daring, boldness, courage"
arrojo,shipwreck_debris,NOUN,ɐˈʁoʒu,shipwreck debris washed ashore
arrojo,hurl,VERB,ɐˈʁɔʒu,I hurl/fling with impetus (1sg pres of arrojar)
arroto,belch,NOUN,ɐˈʁotu,noisy expulsion of stomach gas through the mouth; eructation
arroto,obscenity,NOUN,ɐˈʁotu,an obscenity
arroto,burp,VERB,ɐˈʁɔtu,I belch / expel stomach gas through the mouth (1sg pres of arrotar)
atropelo,muddle,NOUN,ɐtɾuˈpelu,"fluster, embarrassment, confusion"
atropelo,running_over,NOUN,ɐtɾuˈpelu,act or effect of running someone over; a traffic knock-down
atropelo,trampling,NOUN,ɐtɾuˈpelu,"disregard/violation of a rule, principle or right"
atropelo,run_over,VERB,ɐtɾuˈpɛlu,I run over / knock down (1sg pres of atropelar)
azedo,azedo_sausage,NOUN,ɐˈzedu,Tras-os-Montes smoked sausage with a sour tang ('alheira dos pobres')
azedo,ill_tempered,ADJ,ɐˈzedu,"harsh, bad-tempered; (of a person) embittered and hard to deal with"
azedo,sour,ADJ,ɐˈzedu,"tasting like lemon or vinegar; acidic, bitter"
azedo,sour_taste,NOUN,ɐˈzedu,a sour/acidic taste like lemon or vinegar (no sugar)
azedo,spoiled,ADJ,ɐˈzedu,(of food) deteriorated through fermentation
azedo,turn_sour,VERB,ɐˈzɛdu,I turn sour / make sour (1sg pres of azedar)
bola,bola_cake,NOUN,ˈbolɐ,sweet cake from Miranda do Douro with sugar-and-cinnamon filling
bola,fresh_cheese,NOUN,ˈbolɐ,large fresh sheep's-milk cheese
bola,loaf,NOUN,ˈbolɐ,savoury bread-dough dish baked with meats/sausages
bola,round_flatbread,NOUN,ˈbolɐ,round flat loaf of rye or maize bread (broa)
bola,ball,NOUN,ˈbɔlɐ,any spherical body; sports/game ball
bola,bribe,NOUN,ˈbɔlɐ,money given to do something illegal/reprehensible; bribe
bola,circle_figure,NOUN,ˈbɔlɐ,a circle or circular figure
bola,coal_ball,NOUN,ˈbɔlɐ,ball of compressed coal dust used to keep stoves warm
bola,football,NOUN,ˈbɔlɐ,football (the sport)
bola,goal,NOUN,ˈbɔlɐ,a goal (score)
bola,head,NOUN,ˈbɔlɐ,(colloquial) the head
bola,palmatoria_strike,NOUN,ˈbɔlɐ,a blow on the palm with a ferule (palmatoria)
bola,play,NOUN,ˈbɔlɐ,a play or move in a game/sport
bola,testicles,NOUN,ˈbɔlɐ,(slang) testicles
cerco,blockade,NOUN,ˈseɾku,act of blocking or barring passage
cerco,enclosure_limit,NOUN,ˈseɾku,that which bounds a space; a circular arrangement around something
cerco,harassment,NOUN,ˈseɾku,persistent importuning/harassment
cerco,hunt_ring,NOUN,ˈseɾku,ring formation of hunters to corner game
cerco,outhouse,NOUN,ˈseɾku,privy / outdoor toilet
cerco,purse_seine,NOUN,ˈseɾku,fishing gear whose nets form a circle to catch fish
cerco,seiner_boat,NOUN,ˈseɾku,boat that uses purse-seine gear
cerco,siege,NOUN,ˈseɾku,act of encircling/walling around; military encirclement of the enemy
cerco,string_of_misfortune,NOUN,ˈseɾku,succession of dire events that constrain someone/something
cerco,surround,VERB,ˈsɛɾku,I surround / lay siege to (1sg pres of cercar)
cerro,hill,NOUN,ˈseʁu,"a small rise of land, hillock"
cerro,pork_loin_cut,NOUN,ˈseʁu,cut of pork loin next to the rind
cerro,shut,VERB,ˈsɛʁu,I shut / close / seal (1sg pres of cerrar)
choco,addled,ADJ,ˈʃoku,(of an egg) with developing embryo; (of birds) feverish during incubation; broody (sitting on eggs)
choco,brooding,NOUN,ˈʃoku,act/effect of brooding; the incubation period
choco,cuttlefish,NOUN,ˈʃoku,"cuttlefish (cephalopod mollusc, genus Sepia)"
choco,flat,ADJ,ˈʃoku,(of a drink) that has lost its fizz
choco,listless,ADJ,ˈʃoku,lacking any will to do anything; listless
choco,rotten,ADJ,ˈʃoku,"rotten, gone bad"
choco,hatch,VERB,ˈʃɔku,I brood/incubate (1sg pres of chocar)
choro,animal_wail,NOUN,ˈʃoɾu,"moan, howl or plaintive sound made by some animals"
choro,choro_music,NOUN,ˈʃoɾu,"choro, a melodious sentimental genre of Brazilian popular music"
choro,funeral_wake,NOUN,ˈʃoɾu,"funeral ceremony honouring the dead, with music and chants"
choro,lamentation,NOUN,ˈʃoɾu,"lamentation, wailing"
choro,plaintive_sound,NOUN,ˈʃoɾu,plaintive or melancholic sound of certain musical instruments
choro,sap_weeping,NOUN,ˈʃoɾu,exudation of raw sap from cut surfaces of plants
choro,weeping,NOUN,ˈʃoɾu,"act of weeping, shedding tears in reaction to pain or strong emotion"
choro,weep,VERB,ˈʃɔɾu,"1sg present of chorar: to weep, shed tears"
cobro,cessation,NOUN,ˈkobɾu,(protected: operational roster)
cobro,collection,NOUN,ˈkobɾu,act or effect of charging/collecting what is owed
cobro,crown_levy,NOUN,ˈkobɾu,feudal due levied by the crown on tenants of certain royal lands
cobro,end,NOUN,ˈkobɾu,"end, term, stop (as in 'pôr cobro a' = to put a stop to)"
cobro,retrieve,NOUN,ˈkobɾu,a dog's retrieval of downed game and delivery to the hunter
cobro,safe_place,NOUN,ˈkobɾu,"safe place to keep money, jewellery, etc."
cobro,storage,NOUN,ˈkobɾu,"storing away, putting in safekeeping (arrecadação)"
cobro,collect,VERB,ˈkɔbɾu,"1sg present of cobrar: to charge, collect (a debt/payment)"
colher,catch_by_surprise,VERB,kuˈʎeɾ,"to surprise, catch unawares"
colher,compile,VERB,kuˈʎeɾ,"to collect, compile (coligir)"
colher,harvest,VERB,kuˈʎeɾ,"infinitive colher: to pick/gather from a plant (fruit, flowers, leaves)"
colher,hit,VERB,kuˈʎeɾ,"to hit, strike, reach (atingir)"
